id,order,suborder,family,subfamily,genus,in.guild,species,group,in.code,plant,fl.fam,pl.code,date,foundation,microh,plot,repl
60,Diptera,Brachycera,Muscidae,Azeliinae,Thricops,pollinator,culminum,fly,thrcul,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,w,2,2
61,Diptera,Brachycera,Rhinophoridae,sp,Phyto,parasitoid,sp,,phytsp,Jasione amethystina,Campanulaceae,jasame,20150708,h,w,1,2
62,Hymenoptera,Aculeata,Crabronidae,sp,sp,predator,sp,,crabsp,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150710,h,w,9,3
63,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,pollinator,vestalis,bee,bomves,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150715,h,a,8,4
64,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,pollinator,mitis granadae,bee,hopmit,Sideritis glacialis,Lamiaceae,sidgla,20150708,h,w,9,2
65,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,sp,bee,megasp,Sideritis glacialis,Lamiaceae,sidgla,20150708,h,w,9,2
66,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,pollinator,terrestris lusitanicus,bee,bomlun,Sideritis glacialis,Lamiaceae,sidgla,20150727,s,o,8,9
67,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,pollinator,mitis granadae,bee,hopmit,Jasione amethystina,Campanulaceae,jasame,20150707,h,w,6,1
68,Hymenoptera,Aculeata,Colletidae,Hylaeinae,Hylaeus,pollinator,ibericus,bee,hylibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,a,1,2
69,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Anthidium,pollinator,montanum,bee,antmon,Hormathophylla spinosa,Brassicaceae,horspi,20150717,s,a,7,5
70,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Hormathophylla spinosa,Brassicaceae,horspi,20150717,s,a,7,5
71,Diptera,Brachycera,Bombyliidae,spA,spA,pollinator,spA,fly,bomspa,Hormathophylla spinosa,Brassicaceae,horspi,20150716,s,w,9,5
72,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,parietina,bee,megpar,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150717,s,o,14,5
73,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,pollinator,terrestris terrestris,bee,bomter,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,w,8,1
74,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,w,8,1
75,Coleoptera,Polyphaga,Buprestidae,Agrilinae,Agrilus,herbivore,spA,,agrspa,Sideritis glacialis,Lamiaceae,sidgla,20150718,h,w,9,6
76,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150718,s,w,3,6
77,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150718,s,w,3,6
78,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,herbivore,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,a,12,1
79,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,pollinator,parietina,bee,megpar,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150715,h,o,1,4
80,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Leucanthemopsis pectinata,Asteraceae,leupec,20150727,s,o,13,9
81,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Leucanthemopsis pectinata,Asteraceae,leupec,20150727,s,o,13,9
82,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,pollinator,carbonaria,bee,andcar,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,a,11,2
83,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,pollinator,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,a,14,1
84,Diptera,Brachycera,Muscidae,Phaoniinae,Phaonia,pollinator,scutellata,fly,phascu,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,a,14,1
85,Diptera,Brachycera,Bombyliidae,spA,spA,pollinator,spA,fly,bomspa,Hormathophylla spinosa,Brassicaceae,horspi,20150716,s,a,6,5
86,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,pollinator,terrestris terrestris,bee,bomter,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,a,7,2
87,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,a,7,2
88,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,pollinator,ravouxi,bee,hoprav,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150711,s,w,14,3
89,Diptera,Nematocera,Sciaridae,sp,sp,scavenger,sp,,sciasp,Jasione amethystina,Campanulaceae,jasame,20150707,h,w,10,1
90,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,parasitoid,spA,,braspa,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,w,8,1
91,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,pollinator,cephalotes,bee,pancep,Leucanthemopsis pectinata,Asteraceae,leupec,20150727,s,o,5,9
92,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,hoverfly,eriten,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150714,h,a,14,4
93,Hymenoptera,parasitica,Eurytomidae,Eurytominae,Bruchophagus,herbivore,sp,,bruchsp,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150707,h,o,10,1
94,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Crepis oporinoides,Asteraceae,creopo,20150724,s,o,14,8
95,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150706,h,o,7,1
96,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,pollinator,cephalotes,bee,pancep,Leontodon boryi,Asteraceae,leobor,20150719,h,w,14,6
97,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,a,1,1
98,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150707,h,a,1,1
99,Hymenoptera,parasitica,Braconidae,Cheloninae,Chelonus,parasitoid,spA,,chespa,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150715,s,o,14,4
100,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,a,6,2
101,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,hoverfly,eriten,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150714,h,w,9,4
102,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Chaenorhinum glareosum,Scrophulariaceae,chagla,20150706,s,w,3,1
103,Diptera,Brachycera,Muscidae,Phaoniinae,Helina,pollinator,annosa,fly,phaann,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,a,13,2
104,Coleoptera,Polyphaga,Melyridae,Dasytinae,Enicopus,pollinator,sp,other,enicsp,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,w,2,2
105,Diptera,Brachycera,Bombyliidae,spB,spB,pollinator,spB,fly,bomspb,Lotus corniculatus subsp glacialis,Fabaceae,lotcor,20150706,h,w,12,1
106,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,parasitoid,spB,,braspb,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,a,1,2
107,Hymenoptera,Aculeata,Bethylidae,sp,sp,parasitoid,sp,,bethsp,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,a,1,2
108,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150706,h,o,3,1
109,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Leucanthemopsis pectinata,Asteraceae,leupec,20150716,h,w,6,5
110,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150715,h,w,6,4
111,Hymenoptera,Aculeata,Anthophoridae,Xylocopinae,Xylocopa,pollinator,valga,bee,xylval,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150716,h,w,12,5
112,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,hoverfly,eriten,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150710,h,a,7,3
113,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,forticornis,,gelfor,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150710,h,a,7,3
114,Coleoptera,Endopterygota,Buprestidae,Agrilinae,Agrilus,herbivore,spB,,agrspb,Sideritis glacialis,Lamiaceae,sidgla,20150715,s,o,8,4
115,Coleoptera,Endopterygota,Buprestidae,Agrilinae,Agrilus,herbivore,spA,,agrspa,Sideritis glacialis,Lamiaceae,sidgla,20150715,s,o,8,4
116,Hymenoptera,Aculeata,Pompilidae,spC,spC,predator,spC,,pomspc,Jasione amethystina,Campanulaceae,jasame,20150706,h,o,12,1
117,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,herbivore,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,a,2,2
118,Hymenoptera,Aculeata,Halictidae,Halictinae,Halictus,pollinator,gemmeus,bee,halgem,Jasione amethystina,Campanulaceae,jasame,20150707,s,o,5,1
119,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,pollinator,mitis granadae,bee,hopmit,Jasione amethystina,Campanulaceae,jasame,20150706,h,w,12,1
120,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150709,h,a,6,2
121,Hymenoptera,Aculeata,Colletidae,Colletinae,Colletes,pollinator,schmidi,bee,colsch,Hormathophylla spinosa,Brassicaceae,horspi,20150727,s,a,8,9
122,Hymenoptera,parasitica,Ichneumonidae,Campopleginae,sp,parasitoid,sp,,campsp,Hormathophylla spinosa,Brassicaceae,horspi,20150719,s,a,1,6
123,Diptera,Brachycera,Bombyliidae,spB,spB,pollinator,spB,fly,bomspb,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150715,h,a,10,4
124,Diptera,Nematocera,Sciaridae,sp,sp,scavenger,sp,,sciasp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150717,h,w,1,5
125,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150717,h,w,1,5
126,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,w,14,1
127,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,a,4,1
128,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,parasitoid,spA,,braspa,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150708,s,w,6,2
129,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,pollinator,iberica,butterfly,scyibe,Leucanthemopsis pectinata,Asteraceae,leupec,20150724,s,w,5,8
130,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,pollinator,tenax,fly,eriten,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,w,7,2
131,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150708,h,w,7,2
132,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,w,6,2
133,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,forticornis,,gelfos,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,w,6,2
134,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,herbivore,sp,,galesp,Hormathophylla spinosa,Brassicaceae,horspi,20150708,s,w,6,2
135,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150716,h,a,6,5
136,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spA,predator,spA,,malspa,Leucanthemopsis pectinata,Asteraceae,leupec,20150714,s,w,13,4
137,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,herbivore,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,w,12,1
138,Coleoptera,Polyphaga,Melyridae,Rhadalinae,Aplocnemus,herbivore,sp,,aplosp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,w,12,1
139,Hymenoptera,Aculeata,Mutilidae,sp,sp,pollinator,sp,bee,mutisp,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150706,h,w,12,1
140,Hymenoptera,Parasitica,Eurytomidae,Eurytominae,Bruchophagus,herbivore,sp,,bruchsp,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150717,h,w,1,5
141,Coleoptera,Polyphaga,Coccinellidae,Coccinellinae,Hippodamia,predator,sp,,hippsp,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150709,h,w,10,2
142,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Anthidium,pollinator,montanum,bee,antmon,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150709,h,w,10,2
143,Hymenoptera,Parasitica,Braconidae,Cheloninae,Chelonus,parasitoid,spA,,chespa,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150715,h,a,11,4
144,Coleoptera,Polyphaga,Meloidae,Meloinae,Mylabris,parasitoid,sp,,mylasp,Leontodon boryi,Asteraceae,leobor,20150727,h,w,14,9
145,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,fossae,,gelfos,Leontodon boryi,Asteraceae,leobor,20150710,s,o,10,3
146,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,pollinator,agilissima,bee,andagi,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150727,h,w,14,9
147,Hymenoptera,Aculeata,Halictidae,Rophitinae,Dufourea,pollinator,paradoxa nivalis,bee,dufpar,Arenaria tetraquetra subsp amabilis,Caryophyllaceae,aretet,20150727,h,a,14,9
148,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,w,4,1
149,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150707,s,w,4,1
150,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150716,s,w,3,5
151,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,pollinator,cupromicans,bee,lascup,Jasione amethystina,Campanulaceae,jasame,20150707,h,o,5,1
152,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,parasitoid,forticornis,,gelfor,Jasione amethystina,Campanulaceae,jasame,20150707,h,w,2,1
153,Hymenoptera,Aculeata,Apidae,Apinae,Apis,pollinator,mellifera,bee,apimel,Hormathophylla spinosa,Brassicaceae,horspi,20150706,s,a,9,1
154,Hymenoptera,Aculeata,Chrysididae,sp,sp,parasitoid,sp,,chrysp,Anthyllis vulneraria subsp pseudoarundana,Fabaceae,antvul,20150709,h,o,3,2
